letter_association,free_association,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,positive_.started,movie_postive.started,positive_.stopped,letter.started,text_2.started,textbox.started,button.started,mouse.started,letter.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,free_association_.started,text_3.started,textbox_2.started,button_2.started,mouse_2.started,free_association_.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,negative.started,movie_negative.started,negative.stopped,letter_.started,text_4.started,textbox_3.started,button_3.started,mouse_3.started,letter_.stopped,textbox_3.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,free__association_.started,text_5.started,textbox_4.started,button_4.started,mouse_4.started,free__association_.stopped,textbox_4.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.007172199984779581,0.048609299992676824,0.048609299992676824,1.1615203999972437,3.0037037037037035,1.1352941000077408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.161563700006809,1.4957200000062585,82.86359210000955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,0,0,0,0,,,,,,,,,,,,,83.00972609999008,,,,,,,,,,,82.98593249998521,83.00972609999008,83.00972609999008,83.00972609999008,0.02258560000336729,100.5016886999947,"mug , milk , mustard",1,[17.501889699982712],[17.50190649999422],[-0.021296296296296296],[-0.24166666666666667],[1],[0],[0],[17.50308279998717],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,0,1,1,4,,,,,,,,,,,,,100.53242879998288,,,,,,,,,,,100.50636060000397,100.53242879998288,100.53242879998288,100.53242879998288,0.01572150000720285,106.65142799998284,happy,1,[6.127652499999385],[6.127670100016985],[-0.026851851851851852],[-0.30092592592592593],[1],[0],[0],[6.127921700011939],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,0,2,2,1,,,,,,,,,,,,,106.6822952000075,,,,,,,,,,,106.65301169999293,106.6822952000075,106.6822952000075,106.6822952000075,0.018707199982600287,131.53531179999118,"dynamic . delightful , dreamy ",1,[24.86236630001804],[24.862382499995874],[0.018518518518518517],[-0.2935185185185185],[1],[0],[0],[24.86261999999988],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,0,3,3,3,,,,,,,,,,,,,131.56017749998136,,,,,,,,,,,131.53663829999277,131.56017749998136,131.56017749998136,131.56017749998136,0.013041000027442351,153.45500590000302,"peaceful , popcorn , postive",1,[21.904283000010764],[21.904294700012542],[0.03148148148148148],[-0.2962962962962963],[1],[0],[0],[21.90433600000688],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,0,4,4,2,,,,,,,,,,,,,153.47810949999257,,,,,,,,,,,153.45593409999856,153.47810949999257,153.47810949999257,153.47810949999257,0.012751800008118153,182.1020797000092,"cooking ,concentrating , curiosity",1,[28.631795199995395],[28.631810000020778],[0.025925925925925925],[-0.3731481481481482],[1],[0],[0],[28.632173399993917],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are three words that describe your ideal vacation?,,,,,0,0,0,0,,,,,,,,,182.13750479998998,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.11171820000163,182.13750479998998,182.13750479998998,182.13750479998998,0.020631999999750406,206.95463449999806,"sun , beach , room ",1,[24.827596299990546],[24.827667699981248],[-0.05740740740740741],[-0.3435185185185185],[1],[0],[0],[24.827970300015295],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are the first three words you think of when imagining your future job?,,,,,0,1,1,1,,,,,,,,,206.98830939998152,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.95686199999182,206.98830939998152,206.98830939998152,206.98830939998152,0.015091000008396804,225.0217461999855,"psychology , helpful , salary",1,[18.048573699983535],[18.04858379997313],[-0.014814814814814815],[-0.24166666666666667],[1],[0],[0],[18.048451100010425],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,0,2,2,4,,,,,,,,,225.0457102000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.02280249999603,225.0457102000073,225.0457102000073,225.0457102000073,0.009840400016400963,239.86324899998726,"sunset , sleep , eating",1,[14.829423999995925],[14.82943409998552],[0.027777777777777776],[-0.23796296296296296],[1],[0],[0],[14.829427599994233],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are the first three things that come to mind when you think of family?,,,,,0,3,3,2,,,,,,,,,239.88040419999743,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.86416569998255,239.88040419999743,239.88040419999743,239.88040419999743,0.005138800013810396,258.14994189998833,"peace , comfort , joy",0,,,[-0.017592592592592594],[-0.1925925925925926],[1],[0],[0],[18.279936299979454],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,0,4,4,3,,,,,,,,,258.17355659999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.15075319999596,258.17355659999885,258.17355659999885,258.17355659999885,0.00942610000493005,275.22375390000525,"yoga , salad , gym ",1,[17.062345400016056],[17.06235980000929],[0.018518518518518517],[-0.32407407407407407],[1],[0],[0],[17.062358800001675],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2245069000055,275.38137079999433,354.2916916999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,,,,,,,,,0,0,0,3,,,,,354.43768489998183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.4038787999889,354.43768489998183,354.43768489998183,354.43768489998183,0.019115899980533868,383.78799360000994,"peace , playful , productive ",1,[29.3715768000111],[29.371585500019137],[0.06574074074074074],[-0.2722222222222222],[1],[0],[0],[29.37175120000029],['button'],,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,,,,,,,,,0,1,1,0,,,,,383.81342689998564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.78956330000074,383.81342689998564,383.81342689998564,383.81342689998564,0.006867399992188439,407.3896603999892,"mixer , mug , microwave",1,[23.591979499993613],[23.59198960001231],[0.025925925925925925],[-0.31296296296296294],[1],[0],[0],[23.591974500013748],['button'],,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,,,,,,,,,0,2,2,2,,,,,407.408872400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.3907468999969,407.408872400003,407.408872400003,407.408872400003,0.007517799997003749,425.18182009999873,"craft , color , cooking",1,[17.781975999998394],[17.78199119999772],[0.05092592592592592],[-0.28888888888888886],[1],[0],[0],[17.782183299976168],['button'],,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,,,,,,,,,0,3,3,4,,,,,425.2008774999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.18304979999084,425.2008774999995,425.2008774999995,425.2008774999995,0.006724299979396164,434.1933530999813,home,1,[9.002024400018854],[9.002045500004897],[0.07314814814814814],[-0.32592592592592595],[1],[0],[0],[9.002364299987676],['button'],,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,,,,,,,,,0,4,4,1,,,,,434.22279199998593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.1945347999863,434.22279199998593,434.22279199998593,434.22279199998593,0.00990589999128133,453.49476689999574,"disney , daisy , dreamy",1,[19.28851990000112],[19.288537499989616],[0.1037037037037037],[-0.33796296296296297],[1],[0],[0],[19.28864220000105],['button'],,,,,,,,,,,,,,,,,,participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are the first three words you think of when imagining your future job?,,,,,,,,,,,,,0,0,0,1,453.52242319998913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.50168909999775,453.52242319998913,453.52242319998913,453.52242319998913,0.01464710000436753,478.9122863000084,"banglore , hr , salary",1,[25.39968040000531],[25.399696500011487],[0.07777777777777778],[-0.29907407407407405],[1],[0],[0],[25.399939499999164],['button'],participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,,,,,,,,,0,1,1,4,478.93884729998535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.91471670000465,478.93884729998535,478.93884729998535,478.93884729998535,0.008536799985449761,505.26620519999415,"peace , cooking , food",1,[26.341168400016613],[26.341185500001302],[-0.007407407407407408],[-0.30925925925925923],[1],[0],[0],[26.341403800004628],['button'],participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are three words that describe your ideal vacation?,,,,,,,,,,,,,0,2,2,0,505.29193939999095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.2676962999976,505.29193939999095,505.29193939999095,505.29193939999095,0.009352499997476116,525.953869799996,"good , fun , beach ",1,[20.6746531999961],[20.67467099998612],[0.010185185185185186],[-0.26481481481481484],[1],[0],[0],[20.674998900009086],['button'],participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,,,,,,,,,0,3,3,3,525.9758239999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.9553798999987,525.9758239999937,525.9758239999937,525.9758239999937,0.009698699985165149,547.6074259000015,"protien , muscles , yoga",1,[21.640277800004696],[21.640296099998523],[0.020370370370370372],[-0.23333333333333334],[1],[0],[0],[21.64066289999755],['button'],participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
,What are the first three things that come to mind when you think of family?,,,,,,,,,,,,,0,4,4,2,547.629658299993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.6091032999975,547.629658299993,547.629658299993,547.629658299993,0.008898999978555366,565.1275434999843,"comfort , home , dad",1,[17.507539599988377],[17.507557600009022],[0.000925925925925926],[-0.3287037037037037],[1],[0],[0],[17.5078005999967],['button'],participant 1,001,2024-11-22_19h42.01.261,Association _task,2024.1.5,None,2024-11-22 19h42.17.353780 +0530,
